date,gos_organ,page
2014-08-12,Роскомнадзор,24
2014-08-12,суды,2
2014-08-13,Генпрокуратура,1
2014-08-13,суды,30
2014-08-14,Роскомнадзор,1
2014-08-15,суды,3
2014-08-18,Роскомнадзор,1
2014-08-18,суды,3
2014-08-19,Генпрокуратура,3
2014-08-19,суды,16
2014-08-20,Генпрокуратура,3
2014-08-20,Роскомнадзор,1
2014-08-20,суды,1
2014-08-21,суды,4
2014-08-22,суды,8
2014-08-24,Генпрокуратура,1
2014-08-25,Генпрокуратура,1
2014-08-25,ФСКН,1
2014-08-25,суды,2
2014-08-26,Генпрокуратура,1
2014-08-26,суды,4
2014-08-27,Генпрокуратура,2
2014-08-28,Роскомнадзор,24
2014-08-28,суды,1
2014-08-29,Генпрокуратура,1
2014-09-01,Роскомнадзор,13
2014-09-01,ФСКН,1
2014-09-02,суды,17
2014-09-03,Генпрокуратура,7
2014-09-03,Роскомнадзор,1
2014-09-04,Роскомнадзор,1
2014-09-04,суды,7
2014-09-05,ФСКН,2
2014-09-08,суды,12
2014-09-09,Роскомнадзор,41
2014-09-10,суды,18
2014-09-11,ФСКН,1
2014-09-11,суды,8
2014-09-12,суды,1
2014-09-15,суды,22
2014-09-16,Роскомнадзор,25
2014-09-16,суды,1
2014-09-17,Роскомнадзор,8
2014-09-17,суды,23
2014-09-19,ФСКН,1
2014-09-19,суды,4
2014-09-22,суды,3
2014-09-24,Роскомнадзор,1
2014-09-24,суды,1
2014-09-25,суды,2
2014-09-27,Роскомнадзор,8
2014-09-30,Роскомнадзор,1
2014-09-30,суды,1
2014-10-01,суды,1
2014-10-02,ФСКН,2
2014-10-02,суды,5
2014-10-03,Генпрокуратура,6
2014-10-03,ФСКН,2
2014-10-03,суды,19
2014-10-07,суды,13
2014-10-08,суды,46
2014-10-09,суды,2
2014-10-10,Генпрокуратура,1
2014-10-10,суды,1
2014-10-13,суды,3
2014-10-14,Роскомнадзор,1
2014-10-14,суды,1
2014-10-15,Роскомнадзор,1
2014-10-15,суды,13
2014-10-16,суды,28
2014-10-17,суды,5
2014-10-20,суды,5
2014-10-21,Роскомнадзор,1
2014-10-21,суды,1
2014-10-22,Роскомнадзор,13
2014-10-22,суды,2
2014-10-23,Роскомнадзор,31
2014-10-24,Генпрокуратура,32
2014-10-24,Роскомнадзор,83
2014-10-24,суды,4
2014-10-28,Роскомнадзор,23
2014-10-28,ФСКН,1
2014-10-28,суды,43
2014-10-29,Роскомнадзор,343
2014-10-29,суды,1
2014-10-30,Генпрокуратура,3
2014-10-30,суды,19
2014-10-31,Роскомнадзор,66
2014-11-05,Роскомнадзор,13
2014-11-05,ФСКН,8
2014-11-05,суды,2
2014-11-06,Генпрокуратура,1
2014-11-06,Роскомнадзор,33
2014-11-06,суды,1
2014-11-07,Роскомнадзор,36
2014-11-07,ФСКН,1
2014-11-10,суды,8
2014-11-12,Роскомнадзор,29
2014-11-13,Роскомнадзор,1
2014-11-13,суды,2
2014-11-14,Роскомнадзор,1
2014-11-14,ФСКН,4
2014-11-14,суды,3
2014-11-16,Роскомнадзор,4
2014-11-17,Роскомнадзор,1
2014-11-17,суды,3
2014-11-18,Роскомнадзор,1
2014-11-18,суды,4
2014-11-19,Роскомнадзор,5
2014-11-19,суды,11
2014-11-20,Роскомнадзор,1
2014-11-20,суды,2
2014-11-21,ФСКН,2
2014-11-21,суды,5
2014-11-24,Генпрокуратура,2
2014-11-24,Роскомнадзор,2
2014-11-24,ФСКН,1
2014-11-24,суды,3
2014-11-26,ФСКН,1
2014-11-26,суды,5
2014-11-27,Роскомнадзор,2
2014-11-27,суды,13
2014-11-28,суды,11
2014-12-01,суды,4
2014-12-02,суды,1
2014-12-03,суды,3
2014-12-04,Генпрокуратура,9
2014-12-04,суды,7
2014-12-05,суды,2
2014-12-08,ФСКН,1
2014-12-08,суды,57
2014-12-09,Генпрокуратура,3
2014-12-09,ФСКН,1
2014-12-09,суды,9
2014-12-10,ФСКН,4
2014-12-10,суды,36
2014-12-11,Роспотребнадзор,1
2014-12-11,суды,12
2014-12-12,суды,7
2014-12-15,суды,22
2014-12-16,Роскомнадзор,10
2014-12-16,суды,8
2014-12-17,суды,4
2014-12-18,ФСКН,2
2014-12-18,суды,2
2014-12-20,Генпрокуратура,5
2014-12-22,Генпрокуратура,9
2014-12-22,суды,15
2014-12-23,ФСКН,1
2014-12-24,Генпрокуратура,1
2014-12-24,Роскомнадзор,2
2014-12-24,ФСКН,1
2014-12-24,суды,2
2014-12-25,суды,2
2014-12-26,Роскомнадзор,2
2014-12-27,ФСКН,1
2014-12-29,Генпрокуратура,1
2014-12-29,суды,20
2014-12-30,суды,2
2014-12-31,Роскомнадзор,1
2014-12-31,Роспотребнадзор,1
2014-12-31,ФСКН,1
2014-12-31,суды,4
2015-01-12,Роскомнадзор,2
2015-01-12,ФСКН,4
2015-01-12,суды,18
2015-01-13,суды,3
2015-01-14,Генпрокуратура,3
2015-01-14,Роскомнадзор,4
2015-01-14,Роспотребнадзор,1
2015-01-14,ФСКН,1
2015-01-15,Роскомнадзор,1
2015-01-15,суды,16
2015-01-16,суды,1
2015-01-19,Роскомнадзор,1
2015-01-19,ФСКН,1
2015-01-20,ФСКН,1
2015-01-20,суды,1
2015-01-21,ФСКН,1
2015-01-21,суды,30
2015-01-22,ФСКН,1
2015-01-22,суды,10
2015-01-23,Роскомнадзор,3
2015-01-23,ФСКН,1
2015-01-23,суды,42
2015-01-26,суды,15
2015-01-27,суды,4
2015-01-28,ФСКН,1
2015-01-28,суды,1
2015-01-29,суды,14
2015-01-30,Роскомнадзор,1
2015-01-30,суды,12
2015-02-02,суды,3
2015-02-03,суды,6
2015-02-04,Роскомнадзор,24
2015-02-04,суды,6
2015-02-05,суды,21
2015-02-06,суды,1
2015-02-09,ФСКН,1
2015-02-09,суды,15
2015-02-10,Роскомнадзор,3
2015-02-11,ФСКН,1
2015-02-11,суды,1
2015-02-12,ФСКН,1
2015-02-12,суды,7
2015-02-13,Роскомнадзор,1
2015-02-16,Роскомнадзор,8
2015-02-16,ФСКН,2
2015-02-16,суды,5
2015-02-17,Роскомнадзор,1
2015-02-17,суды,4
2015-02-18,суды,38
2015-02-19,суды,19
2015-02-20,суды,32
2015-02-24,ФСКН,2
2015-02-25,Роскомнадзор,35
2015-02-25,ФСКН,1
2015-02-25,суды,10
2015-02-26,ФСКН,1
2015-02-26,суды,10
